id,name,name_norm,uic,latitude,longitude,parent_station_id,country,time_zone,is_city,is_main_station,is_airport,entur_id,entur_is_enabled,trenord_id,cercanias_id,cercanias_hub_id,cercanias_is_enabled
50,Concarneau,Concarneau,NA,47.866667,-3.916667,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
51,Concarneau Port,Concarneau Port,8747989,47.867055,-3.927593,50,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
52,Concarneau,Concarneau,8747438,47.877671,-3.920531,50,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
55,Aboncourt,Aboncourt,8719140,49.266667,6.35,NA,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
56,Aiton – Bourgneuf,Aiton - Bourgneuf,8774124,45.566667,6.25,NA,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
57,Colomiers,Colomiers,NA,43.616667,1.35,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
58,Colomiers,Colomiers,8761146,43.603734,1.334221,57,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
59,Colomiers Lycée International,Colomiers Lycee International,8761192,43.616306,1.314116,57,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
60,Labège,Labege,NA,43.533333,1.533333,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
61,Labège Innopole,Labege Innopole,8761200,43.547361,1.512978,60,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
62,Labège Village,Labege Village,8761202,43.530537,1.532921,60,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
63,Azay-le-Rideau Mairie,Azay-le-Rideau Mairie,8711029,47.266667,0.466667,5083,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
64,Albas,Albas,8761375,44.466667,1.233333,9007,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
65,Abancourt,Abancourt,8731375,49.685224,1.774306,NA,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
66,Lunel,Lunel,NA,43.683333,4.133333,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
67,Lunel-Viel,Lunel-Viel,8777342,43.681173,4.09374,66,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
68,Lunel,Lunel,8777340,43.679392,4.131086,66,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
72,Moirans,Moirans,8774732,45.322185,5.581915,4774,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
73,Arc-et-Senans,Arc-et-Senans,8771884,47.030352,5.776784,NA,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
74,Accolay,Accolay,8768365,47.666667,3.716667,NA,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
76,Dole Ville,Dole Ville,8771341,47.096084,5.488105,1845,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
77,Dax,Dax,8767320,43.720472,-1.050301,5776,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
80,Rezé,Reze,NA,47.2,-1.566667,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
82,Rezé – Pont-Rousseau,Reze - Pont-Rousseau,8748103,47.193243,-1.549545,80,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
83,Cherbourg,Cherbourg,8744487,49.633505,-1.621515,NA,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
84,Angers St-Laud,Angers St-Laud,8748400,47.464647,-0.55682,344,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
85,Saumur,Saumur,8748760,47.269,-0.07136,5831,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
87,Cérences Centre,Cerences Centre,8738819,48.91686,-1.437824,9462,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
89,Reims,Reims,8724856,49.25,4.033333,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
